,ZaggSC,TANGO
FBXO36,-1.55,3.22
FBXO38,-1.77,3.21
FBXO39,-2.04,3.62
FBXO4,0.14,2.37
FBXO40,4.26,—
FBXO41,1.2,3.15
FBXO42,1.33,3.05
FBXO43,-1.09,3.37
FBXO44,-0.91,3.38
FBXO45,2.18,1.28
FBXO46,1.96,2.96
FBXO47,1.07,2.75
FBXO48,1.58,2.67
FBXO5,-0.02,2.97
FBXO6,-0.01,3.04
FBXO7,3.7,2.06
FBXO8,2.6,2.08
FBXO9,1.98,2.14
FBXW10,2.21,1.28
FBXW11,2.14,1.28
FBXW12,2.28,1.28
FBXW2,2.02,3.11
FBXW4,-0.89,2.79
FBXW5,0.98,3.33
FBXW7,-1.79,2.55
FBXW8,-2.09,2.53
FBXW9,-1.52,2.89
FCAMR,—,2.28
FCAR,1.77,3.05
FCER1A,-0.61,3.03
FCER1G,-0.2,3.46
FCER2,3.46,2.91
FCF1,2.39,2.23
FCGBP,-0.52,3.11
FCGR1A,0.64,3.12
FCGR1B,1.21,3.17
FCGR2A,1.99,2.68
FCGR2B,0.31,3.21
FCGR2C,2.11,3.26
FCGR3A,0.46,3.1
FCGR3B,0.61,3.2
FCGRT,0.68,3.07
FCHO1,0.89,1.04
FCHO2,-2.15,3.53
FCHSD1,0.35,2.47
FCHSD2,-0.69,3.15
FCMR,-1.97,3.33
FCN1,-1,3.67
FCN2,-0.02,4.02
FCN3,2.21,2.5
FCRL1,1.64,1.59
FCRL2,1.71,3.14
FCRL3,0.14,2.79
FCRL4,-0.82,1.21
FCRL5,0.04,3.28
FCRL6,—,2.76
FCRLA,-1.26,3.4
FCRLB,-1.64,3.32
FCSK,0.66,2.28
FDCSP,0.75,0.71
FDFT1,1.44,1.03
FDPS,2.31,1.76
FDX1,1,3.37
FDX2,1.07,2.59
FDXACB1,1.74,1.82
FDXR,-0.46,2.84
FECH,—,2.45
FEM1A,1.3,1.38
FEM1B,2.66,1.95
FEM1C,-0.73,3.91
FEN1,-2.87,3.95
FER,-1.12,3.65
FER1L4,1.04,2.78
FER1L5,—,3.11
FER1L6,-1.2,2.9
FER1L6-AS1,-0.63,2.29
FER1L6-AS2,1.71,1.14
FERD3L,-3.58,3.74
FERMT1,-0.37,2.72
FERMT2,-1.09,3.57
FERMT3,1.38,2.19
FES,-0.61,3.17
FETUB,-1.9,3.85
FEV,-2.26,3.74
FEZ1,-2.54,3.57
FEZ2,0.61,3.28
FEZF1,0.64,3.46
FEZF2,-1.54,3.18
FFAR1,-1.37,3.11
FFAR2,-0.67,2.5
FFAR3,1.07,2.29
FFAR4,0.33,3.14
FGA,1.34,0.91
FGB,1.45,2.98
FGD1,0.54,3.35
FGD2,-0.19,3.58
FGD3,-1.61,3.49
FGD4,-1.13,3.47
FGD5,-0.79,3.47
FGD6,-0.86,3.45
FGF1,3.93,—
FGF10,-1.01,3.4
FGF11,3.58,1.36
FGF12,-1.03,3.42
FGF13,-0.7,3.49
FGF14,-0.65,3.24
FGF16,-1.56,3.35
FGF17,2.79,2.87
FGF18,—,1.13
FGF19,4.18,1.22
FGF2,-0.86,2.97
FGF20,0.41,3.5
FGF21,-1.44,4
FGF22,-0.96,3.8
FGF23,-1.89,3.63
FGF3,-0.91,3.27
FGF4,-1.44,3.51
FGF5,-0.52,3.96
FGF6,1.05,3.41
FGF7,-1.65,2.59
FGF8,1.02,3.64
FGF9,0.15,3.04
FGFBP1,-0.76,3.61
FGFBP2,-0.06,1.73
FGFBP3,-0.88,2.86
FGFR1,0.41,3.52
FGFR1OP2,0.19,4.43
FGFR2,0.09,3.63
FGFR3,-1.48,3.28
FGFR4,-0.85,3.98
FGFRL1,1.19,3.13
FGG,1.12,3.22
FGGY,0.14,4.34
FGL1,0.03,4.33
FGL2,-0.02,4.35
FGR,-0.65,3.24
FHAD1,1.05,—
FHDC1,0.78,—
FHIT,0.47,3.31
FHL1,0.07,2.74
FHL2,1.32,3.14
FHL3,0.27,3.12
FHL5,0.56,3.2
FHOD1,0.52,3.28
FHOD3,-0.37,3.28
FIBCD1,0.98,3.26
FIBIN,-0.3,2.12
FIBP,1.2,2.23
FICD,-0.76,3.2
FIG4,0.07,3.62
FIGLA,-0.23,2.39
FIGN,-0.25,3.35
FIGNL1,-1.17,3.41
FIGNL2,-0.19,2.55
FILIP1,-0.67,3.21
FILIP1L,0.67,3.32
FIP1L1,-1.63,3.3
FIS1,-1.33,3.21
FITM1,-0.67,3.49
FITM2,-0.25,3.13
FIZ1,-0.59,3.19
FJX1,1.17,1.54
FKBP10,0.05,1.94
FKBP11,-0.29,2.98
FKBP14,0.63,3.29
FKBP15,0.06,2.55
FKBP1A,—,3.44
FKBP1B,1.04,3.3
FKBP2,0.66,3.39
FKBP3,—,3.53
FKBP4,-0.2,3.33
FKBP5,0.93,2.67
FKBP6,1.28,3.29
FKBP7,0.01,3.35
FKBP8,1.9,3.1
FKBP9,-0.9,2.85
FKBP9P1,-0.6,3.02
FKBPL,0.4,3.19
FKRP,-1.55,3.43
FKTN,—,1.15
FLACC1,-0.7,3.66
FLAD1,1.7,1.27
FLCN,-0.24,2.54
FLG,0.29,3.02
FLG2,-1.77,3.64
FLI1,1.77,2.57
FLII,-0.92,3.01
FLNA,-0.71,3.19
FLNB,0.12,3.07
FLNC,-0.7,3.13
FLOT1,-0.3,3.37
FLOT2,-1.15,3.13
FLRT1,-1.31,3.22
FLRT2,-0.16,2.79
FLRT3,-1.04,3.18
FLT1,-1.95,3.76
FLT3,-1.05,3
FLT3LG,-1.59,3.26
FLT4,-2.2,3.66
FLVCR1,1.49,2.98
FLVCR1-,-3.29,3.73
FLVCR2,-0.13,2.99
FLYWCH1,-1.82,3.6
FLYWCH2,-1.07,2.87
FMC1,-1.88,3.6
FMN1,-2.65,3.36
FMN2,0.59,2.67
FMNL1,-0.27,3.41
FMNL2,-0.37,3.45
FMNL3,-0.16,3.44
FMO1,-0.43,3.37
FMO2,-1.15,3.38
FMO3,-1.33,4.09
FMO4,-0.26,3.58
FMO5,0.12,3.52
FMO6P,-1.68,3.51
FMOD,0.48,2.67
FMR1,-0.04,2.97
FMR1NB,0.85,2.96
FN1,-0.87,2.66
FN3K,-0.42,3.23
FN3KRP,1.35,3.31
FNBP1,-0.31,3.17
FNBP1L,2.23,1.28
FNBP4,-0.39,3.48
FNDC1,-0.48,3.55
FNDC10,-0.1,3.49
FNDC11,0.4,3.53
FNDC3A,0.35,3.41
FNDC3B,-0.19,3.66
FNDC4,-0.68,3.44
FNDC5,-0.46,3
FNDC7,0.94,2.26
FNDC8,1.49,2.71
FNDC9,-1.68,3.64
FNIP1,-0.7,3.53
FNIP2,-1.61,3.11
FNTA,0.64,2.83
FNTB,-1.24,3.52
FOCAD,0.47,2
FOLH1,1.24,2.83
FOLH1B,-0.51,3.52
FOLR1,0.84,2.94
FOLR2,-0.83,3.5
FOLR3,-0.2,2.98
FOS,-0.11,3.35
FOSB,0.46,3.23
FOSL1,0.08,3.57
FOSL2,-0.2,3.11
FOXA1,-1.74,1.86
FOXA2,1.54,3.01
FOXA3,1.31,2.86
FOXB1,0.18,2.05
FOXB2,0.34,2.18
FOXC1,-2.85,3.73
FOXC2,-2.98,3.87
FOXD1,-3.54,3.93
FOXD2,-3.24,3.94
FOXD3,0.71,3.18
FOXD4,0.37,3.23
FOXD4L1,-1.95,3.47
FOXD4L3,-1.72,3.45
FOXD4L4,-0.56,3.4
FOXD4L5,-1.65,3.49
FOXD4L6,-1.51,3.15
FOXE1,1.11,3.03
FOXE3,1.09,3.28
FOXF1,1.17,3.22
FOXF2,1.19,3.56
FOXG1,0.41,3.06
FOXH1,0.42,3.02
FOXI1,1.29,2.8
FOXI2,1.33,2.38
FOXI3,0.94,2.83
FOXJ1,0.25,3
FOXJ2,1.11,2.86
FOXJ3,1.52,3.16
FOXK1,-0.4,3.2
FOXK2,0.6,1.85
FOXL1,-0.29,3.03
FOXL2,-0.9,3.03
FOXL2NB,0.88,3.11
FOXM1,0.3,3.13
FOXN1,-0.52,2.98
FOXN2,1.42,1.98
FOXN3,1.27,3.25
FOXN4,-1.82,3.14
FOXO1,-1.21,3.23
FOXO3,1.41,3.27
FOXO3B,0.27,3.4
FOXO4,1.08,3.08
FOXO6,-0.17,3
FOXP1,1.7,3.33
FOXP2,1.26,3.12
FOXP3,1.26,2.9
FOXP4,-0.03,3.58
FOXQ1,-0.15,3.63
FOXR1,-0.07,3.6
FOXR2,-0.65,3.57
FOXRED1,-0.51,2.77
FOXRED2,-1.13,3.38
FOXS1,-2.32,3.54
FP248,-0.14,2.92
FPGS,-0.89,3.23
FPGT,0.34,3.32
FPR1,0.33,3.31
FPR2,-0.47,3.29
FPR3,2.57,3.09
FRA10AC1,-3.19,3.5
FRAS1,0.66,1.71
FRAT1,0.25,-0.07
FRAT2,-0.08,1.14
FREM1,1.1,3.6
FREM2,0.3,2.95
FREM3,-0.06,3.1
FRG1,-0.23,3.13
FRG2,1.36,3.31
FRG2B,-0.31,3.13
FRG2C,-0.08,3.16
FRK,-0.95,2.88
FRMD1,0.49,3.13
FRMD3,-1.04,2.77
FRMD4A,0.12,3.36
FRMD4B,-0.27,3.62
FRMD5,0.95,1.24
FRMD6,-0.05,3.17
FRMD6-AS1,-1.87,3.36
FRMD7,2.43,3.29
FRMD8,4.2,3.15
FRMD8P1,0.57,2.8
FRMPD1,0.91,3.9
FRMPD2,—,1.29
FRMPD2B,—,3.24
FRMPD3,-0.69,3.2
FRMPD4,-3.42,3.87
FRRS1,-3.41,3.79
FRRS1L,0.45,2.28
FRS2,-0.72,3.19
FRS3,-0.98,3.53
FRY,-0.6,3.29
FRYL,-1.71,3.11
FRZB,—,3.14
FSBP,-0.18,1.79
FSCB,-0.21,1.75
FSCN1,-0.69,2.73
FSCN2,-0.18,3.05
FSCN3,2.26,2.07
FSD1,1.22,3.26
FSD1L,1.19,2.87
FSD2,-0.93,2.52
FSHB,-0.26,3.18
FSHR,-0.3,3.11
FSIP1,-1.54,3.3
FSIP2,0.86,1.12
FST,0.86,1.91
FSTL1,-1.44,3.49
FSTL3,-1.18,3.43
FSTL4,2.43,2.87
FSTL5,0.21,3.44
FTCD,-0.04,3.68
FTCDNL1,0.98,3.34
FTH1,1.08,3.14
FTH1P19,-0.13,3.8
FTHL17,3.14,1.66
FTL,-0.29,3.19
FTMT,2.81,3
FTO,-0.12,3.82
FTSJ1,-0.35,3.48
FTSJ3,1.05,3.22
FUBP1,0.08,3.79
FUBP3,1.32,3.31
FUCA1,-0.8,3.56
FUCA2,-0.75,3.6
FUNDC1,-0.44,3.37
FUNDC2,-0.46,3.83
FUOM,-2.46,3.44
FURIN,1.72,-0.1
FUS,-2.85,4.05
FUT1,3.09,0.19
FUT10,-2.65,4.06
FUT11,3.09,0.19
FUT2,1.66,1.46
FUT3,3.09,0.19
FUT4,1.65,2.84
FUT5,0.71,1.85
FUT6,1.42,3.39
FUT7,0.51,3.44
FUT8,0.02,3.5
FUT9,0.67,3.51
FUZ,0.09,3.64
FXN,0.16,3.59
FXR1,0.08,3.49
FXR2,-0.79,3.65
FXYD1,—,3.21
FXYD2,1.55,2.85
FXYD3,0.66,3.59
FXYD4,0.65,3.63
FXYD5,0.29,3.08
FXYD6,-1.15,3.23
FXYD6P3,1.08,3.22
FXYD7,-2.39,4.1
FYB1,1.02,2.7
FYB2,—,3.05
FYCO1,-0.84,3.25
FYN,-1.12,3.53
FYTTD1,-1.49,2.83
FZD1,0.78,2.92
FZD10,-0.11,3.33
FZD2,-1.14,3.13
FZD3,0.59,2.71
FZD4,0.7,2.72
FZD5,1.42,1.27
FZD6,—,2.45
FZD7,0.25,2.5
FZD8,0.51,2.73
FZD9,0.24,2.73
FZR1,0.01,2.74
G0S2,-0.57,2.09
G2E3,—,3.09
G3BP1,0.38,3.02
G3BP2,-0.32,3.01
G6PC2,-0.24,2.21
G6PC3,1.9,2.75
G6PD,1.97,2.77
GAA,-1.49,3.87
GAB1,-0.12,0.72
GAB2,1.42,2.41
GAB3,1.43,2.63
GAB4,-0.66,2.53
GABARAP,-0.59,3.38
GABARAPL1,1.84,3.26
GABARAPL2,-0.01,3.25
GABARAPL3,0.67,3.76
GABBR1,—,2.45
GABBR2,-0.23,2.92
GABPA,0.67,2.91
GABPB1,0.56,2.31
GABPB2,-0.76,2.97
GABRA1,-1.38,3.37
GABRA2,0.15,2.84
GABRA3,—,1.84
GABRA4,—,2.83
GABRA5,1.24,2.92
GABRA6,-0.94,3.46
GABRB1,—,3.26
GABRB2,-1.21,3.28
GABRB3,1.51,3.34
GABRD,-1.63,3.36
GABRE,—,3.16
GABRG1,-1.11,3.22
GABRG2,2,0.44
GABRG3,1.79,3.05
GABRP,-2.09,4
GABRQ,-2.74,4.01
GABRR1,-1.63,4
GABRR2,—,3.96
GABRR3,-1.83,4.02
GAD1,0.54,3.14
GAD2,0.72,3.18
GADD45A,0.66,0.04
GADD45B,0.81,2.24
GADD45G,0.75,1.46
GADD45GIP1,-0.64,2.52
GADL1,-1.52,3.4
GAFA1,-1.33,3.29
GAGE10,-2.91,3.88
GAGE12B,-0.2,3.41
GAGE12C,0.65,3.42
GAGE12D,-0.39,3.34
GAGE12E,-0.64,3.45
GAGE12F,—,3.49
GAGE12G,-0.19,3.42
GAGE12H,0.23,2.3
GAGE12I,-1.17,1.59
GAGE12J,-0.72,3.75
GAGE13,-3.1,3.93
GAGE2A,-2.94,4
GAGE2B,0.01,3.7
GAGE2C,-0.58,3.88
GAGE2D,1.2,3.26
GAGE2E,-0.6,3.94
GAGE5,0.25,3.84
GAGE6,—,3.1
GAGE7,—,3.15
GAGE8,-2.39,3.89
GAK,1.48,2.94
GAL,-0.53,3.22
GAL3ST1,-0.03,3.01
GAL3ST2,1.61,2.24
GAL3ST3,-0.58,3.02
GAL3ST4,-0.43,2.51
GALC,1.87,3.26
GALE,1.45,3.13
GALK1,-0.44,3.53
GALK2,0.03,3.67
GALM,0.26,3.14
GALNS,0.31,3.03
GALNT1,1.35,3.74
GALNT10,-1.66,3.23
GALNT11,0.5,3.08
GALNT12,-1.52,3.47
GALNT13,0.28,2.25
GALNT14,0.52,3.4
GALNT15,0.38,3.35
GALNT16,0.15,3.18
GALNT17,-0.19,3.31
GALNT18,-0.09,3.19
GALNT2,0.61,3.41
GALNT3,-2.13,3.96
GALNT4,-1.13,3.51
GALNT5,1.61,2.3
GALNT6,1.12,1.58
GALNT7,-0.46,4.2
GALNT8,-0.66,4.25
GALNT9,-1.32,3.71
GALNTL5,-0.55,3.33
GALNTL6,1.44,2.92
GALP,0.16,3.07
GALR1,0.79,2.9
GALR2,0.6,3.54
GALR3,0.26,3.61
GALT,1.27,2.47
GAMT,2.14,2.63
GAN,0.96,2.62
GANAB,0.94,2.81
GANC,0.41,3.16
GAP43,1.73,2.98
GAPDH,-0.03,3.11
GAPDHS,-1.63,2.94
GAPT,0.52,2.92
GAPVD1,0.21,2.86
GAR1,-2.46,4.03
GAREM1,2.48,2.18
GAREM2,0.75,4.32
GARNL3,1.3,3.11
GARS1,-0.14,3.01
GART,-0.3,1.01
GAS1,-0.63,3.55
GAS2,-0.45,3.57
GAS2L1,1.21,3.03
GAS2L2,1.39,2.77
GAS2L3,-0.51,2.35
GAS6,—,2.84
GAS7,-0.38,3.23
GAS8,1.27,2.6
GAS8-AS1,0.18,2.19
GASK1A,-0.49,1.93
GASK1B,0.17,2.05
GAST,1.19,3.03
GATA1,1.5,2.74
GATA2,1.33,2.9
GATA3,-1.93,2.8
GATA4,-1.54,3.52
GATA5,-1.25,3.34
GATA6,-3.42,3.98
GATAD1,0.31,3.66
GATAD2A,-3.58,3.88
GATAD2B,-3.27,3.84
GATB,-0.4,3.02
GATC,0.15,3.27
GATD1,1.48,3.4
GATD3A,-0.03,2.92
GATD3B,-1.11,3.44
GATM,1.48,1.36
GBA,-1.65,3.93
GBA2,-0.43,3.52
GBA3,-0.67,3.29
GBE1,2.93,3.11
GBF1,-1.34,3.5
GBGT1,-2.83,3.76
GBP1,—,3
GBP2,-1.52,2.75
GBP3,-1.83,2.99
GBP4,0.06,3.28
GBP5,-1.65,3.56
GBP6,0.71,1.87
GBP7,-0.9,3.14
GBX1,-2.56,4
GBX2,-1.19,4.01
GCA,—,2.75
GCAT,0.05,3.47
GCC1,-2.11,4.02
GCC2,-2.23,4
GCDH,0.87,3.12
GCFC2,0.04,3.21
GCG,-1.58,3.54
GCGR,-0.41,3.29
GCH1,-1.84,4.01
GCHFR,0.13,3.46
GCK,1.62,3.46
GCKR,-3.42,4.06
GCLC,0.1,3.31
GCLM,2.72,1.24
GCM1,-2.94,3.94
GCM2,-0.41,3.35
GCN1,-3.01,3.84
GCNA,0.12,3.6
GCNT1,-1.24,3.87
GCNT2,-0.06,1.27
GCNT3,1.21,2.91
GCNT4,1.57,2.98
GCNT7,-0.64,3.21
GCRG224,-3.36,3.99
GCSAM,-3.58,3.97
GCSAML,-1.12,3.59
GCSH,-3.94,3.88
GDA,-2.07,3.9
GDAP1,—,2.65
GDAP1L1,-3.46,4.04
GDAP2,1.69,3.22
GDE1,1.25,2.8
GDF1,1.92,2.91
GDF10,-0.06,2.87
GDF11,-0.77,2.65
GDF15,1.34,—
GDF2,1.46,2.72
GDF3,1.06,2.95
GDF5,—,2.64
GDF6,0.86,2.89
GDF7,1.2,3.24
GDF9,-0.68,4.03
GDI1,-1.15,4.04
GDI2,-0.84,3.09
GDNF,2.33,—
GDPD1,2.95,—
GDPD2,2.75,—
GDPD3,2.3,—
GDPD4,2.34,—
GDPD5,2.45,—
GDPGP1,1.16,2.63
GEM,-0.13,3.44
GEMIN2,1.12,2.65
GEMIN4,1.09,2.65
GEMIN5,—,2.96
GEMIN6,1.28,2.65
GEMIN7,1.27,2.65
GEMIN8,—,2.65
GEN1,—,2.49
GET4,—,3.08
GFAP,-1.89,3.61
GFER,-0.3,2.57
GFI1,-0.98,2.59
GFI1B,-1.72,2.31
GFM1,—,2.19
GFM2,-0.28,3.24
GFOD1,-0.37,3.05
GFOD2,-1.07,3.16
GFPT1,-0.42,2.9
GFPT2,-1.02,3.33
GFRA1,-1.87,2.97
GFRA2,-2.81,3.89
GFRA3,-2.98,3.85
GFRA4,-1.93,3.83
GFRAL,-0.62,3.43
GFUS,-0.71,1.69
GFY,-0.32,3.35
GGA1,-0.25,3.17
GGA2,0.3,2.68
GGA3,-0.15,3.48
GGACT,1.33,2.06
GGCT,1.57,3.51
GGCX,-1.37,3.16
GGH,-0.13,2.57
GGN,0.54,1.55
GGNBP1,0.41,0.64
GGNBP2,1.07,1.1
GGPS1,0.11,1.44
GGT1,0.77,2
GGT2,-0.06,3.09
GGT3P,0.36,2.9
GGT5,-0.46,2.59
GGT6,0.71,2.37
GGT7,-0.02,2.74
GGTA1,-0.99,3.63
GGTLC1,-0.98,3.29
GGTLC2,-0.2,2.06
GGTLC3,-0.29,2.47
GH1,0.42,3.18
GH2,0.75,3.49
GHDC,1.32,—
GHITM,1.53,—
GHR,1.15,—
GHRH,1.43,2.46
GHRHR,-0.98,—
GHRL,—,1.26
GHSR,0.17,2.11
GID4,0.16,1.87
GID8,1.19,1.99
GIG44,0.97,2.82
GIGYF1,-0.65,2.47
GIGYF2,-0.29,2.46
GIMAP1,0.64,—
GIMAP2,0.06,2.41
GIMAP4,-1.21,3.38
GIMAP5,1.25,—
GIMAP6,0.65,3.6
GIMAP7,0.48,3.53
GIMAP8,0.75,3.57
GIMD1,0.63,3.57
GIN1,0.51,3.53
GINM1,0.77,3.6
GINS1,0.05,3.19
GINS2,0.35,3.55
GINS3,0.41,3.57
GINS4,-0.48,3.76
GIP,-0.14,3.78
GIPC1,0.54,3.5
GIPC2,-0.71,3.8
GIPC3,-1.22,3.85
GIPR,-1.29,3.81
GIT1,-0.99,3.79
GIT2,-1.78,3.83
GJA1,-2.13,3.43
GJA10,1.08,2.01
GJA3,1.55,2.56
GJA4,-1.72,1.56
GJA5,-1.51,—
GJA8,—,0.61
GJA9,2.03,—
GJB1,-2.28,3.19
GJB2,2.96,1.9
GJB3,-0.25,1.21
GJB4,—,3.04
GJB5,1.95,2.74
GJB6,1.43,—
GJB7,1.39,—
GJC1,2.22,2.85
GJC2,2.3,2.59
GJC3,1.52,3.14
GJD2,0.89,3.31
GJD3,—,3.09
GJD4,-0.18,3.13
GJE1,-2.04,3.81
GK2,-1.19,2.31
GK3P,-0.44,3.38
GK5,-0.09,3.16
GKAP1,0.04,3.22
GKN1,-0.96,3.72
GKN2,-1.37,3.75
GKN3P,-1.36,3.76
GLA,0.09,2.78
GLB1,0.53,1.59
GLB1L,0.38,3.19
GLB1L2,-0.97,3.26
GLB1L3,0.55,3.03
GLCCI1,-0.97,3.86
GLCE,-2.59,3.85
GLDC,-3.42,3.96
GLDN,—,3.1
GLE1,2.55,3.05
GLG1,-3.32,4.07
GLI1,1.5,3.18
GLI2,0.57,2.9
GLI3,-0.76,3.61
GLI4,0.81,2.62
GLIPR1,0.62,2.41
GLIPR1L1,0.1,3.32
GLIPR1L2,-3.9,3.91
GLIPR2,0.96,3.01
GLIS1,-1.38,3.98
GLIS2,-1.01,3.57
GLIS3,-0.19,3.28
GLMN,-0.92,3.5
GLMP,-0.84,3.53
GLO1,-0.13,3.97
GLOD4,0.3,3.53
GLOD5,-0.89,3.13
GLP1R,-0.37,3.82
GLP2R,1.72,2.6
GLRA1,-0.36,3.54
GLRA2,0.04,3.25
GLRA3,-0.65,2.94
GLRB,0.21,3.32
GLRX,-0.32,3.53
GLRX2,-2.61,2.82
GLRX3,-0.91,3.57
GLRX5,-0.68,3.63
GLS,—,3.12
GLS2,-0.06,2.9
GLT1D1,-1.17,3.77
GLT6D1,-2.24,3.8
GLT8D1,-1.28,3.81
GLT8D2,-2,3.81
GLTP,1.08,1.94
GLTPD2,-0.39,3.2
GLUD1,-1.16,2.96
GLUD2,1.51,2.86
GLUL,2.95,—
GLYAT,-3.21,4.01
GLYATL1,-1.09,3.06
GLYATL1B,2.4,2.35
GLYATL2,-1.11,3.43
GLYATL3,-0.06,3.44
GLYCAM1,-1.25,3.87
GLYCTK,—,1.56
GLYR1,-1.89,3.78
GM2A,-0.85,3.57
GMCL1,0.43,3.76
GMCL2,0.84,2.98
GMDS,-1.14,2.21
GMEB1,2.26,0.44
GMEB2,2.92,—
GMFB,1.78,3.15
GMFG,0.89,3.37
GMIP,-0.29,3.25
GML,-0.18,3.54
GMNC,0.41,3.42
GMNN,—,2.65
GMPPA,2.23,1.84
GMPPB,1.08,0.83
GMPR,1.5,0.18
GMPR2,-0.93,2.64
GMPS,-1.96,3.56
GNA11,-1.84,2.42
GNA12,0.29,3.47
GNA13,-0.32,3.39
GNA14,0.02,3.29
GNA15,0.76,3.32
GNAI1,-1.37,2.86
GNAI2,-0.16,3.28
GNAI3,-1.39,2.42
GNAL,0.56,3.48
GNAO1,2.27,—
GNAQ,2.45,—
GNAS,-0.08,3.28
GNAT1,2.03,—
GNAT2,4.11,1.36
GNAT3,4.03,0.76
GNAZ,3.07,1.15
GNB1,-1.57,3.56
GNB1L,3.03,1.35
GNB2,-1.87,3.49
GNB3,-1.16,3.51
GNB4,-0.76,3.51
GNB5,4.91,1.36
GNE,-0.73,3.83
GNG10,-1.23,3.49
GNG11,-0.95,3.49
GNG12,0.39,3.58
GNG13,-1.19,3.51
GNG14,-2.19,3.51
GNG2,2.28,2.16
GNG3,-0.1,3.02
GNG4,0.2,3.02
GNG5,0.22,3.02
GNG7,0.22,3.02
GNG8,0.2,3.02
GNGT1,1.35,3.02
GNGT2,-2.29,2.3
GNL1,2.91,1.35
GNL2,0.45,2.87
GNL3,3.02,1.35
GNL3L,3.01,1.35
GNLY,4.92,1.35
GNMT,0.23,3.12
GNPAT,1.98,2.53
GNPDA1,-0.42,3.27
GNPDA2,-0.41,3.04
GNPNAT1,-1.21,3.3
GNPTAB,-0.89,2.77
GNPTG,0.28,3.21
GNRH1,-1.71,3.43
GNRH2,0.09,1.81
GNRHR,2.76,—
GNRHR2,2.24,1.43
GNS,-1.45,3.21
GOLGA1,1.1,2.92
GOLGA2,-1.8,3.15
GOLGA2P5,-0.63,3.19
GOLGA3,0.38,3.36
GOLGA4,-0.9,3.46
GOLGA5,1.43,3.33
GOLGA6A,-0.51,3.23
GOLGA6B,-1.56,3.73
GOLGA6C,-1.6,3.8
GOLGA6D,-1.51,3.73
GOLGA6L1,-0.57,3.39
GOLGA6L10,0.37,2.98
GOLGA6L19,-0.44,3.31
GOLGA6L2,0.38,3.46
GOLGA6L22,0.27,3.49
GOLGA6L3,-0.74,3.36
GOLGA6L4,0.49,3.7
GOLGA6L6,2.14,1.92
GOLGA6L7,1.07,3.16
GOLGA6L9,-0.1,2.29
GOLGA7,—,3.5
GOLGA7B,-1.45,3.65
GOLGA8A,-1.5,3.28
GOLGA8B,-1.11,3.61
GOLGA8CP,-1.04,3.39
GOLGA8DP,-0.41,3.33
GOLGA8F,-0.24,3.21
GOLGA8G,-0.03,3.27
GOLGA8H,2.02,2.9
GOLGA8IP,3.16,3.04
GOLGA8J,-2.02,3.28
GOLGA8K,-1.81,3.08
GOLGA8M,-1.34,3.34
GOLGA8N,-2.57,3.54
GOLGA8O,-2.95,3.82
GOLGA8Q,-0.64,2.96
GOLGA8R,-0.41,3.45
GOLGA8S,-3.24,3.92
GOLGA8T,-0.23,2.9
GOLGB1,1.2,3.16
GOLIM4,—,3.01
GOLM1,-0.28,2.99
GOLPH3,0.22,3.46
GOLPH3L,-0.2,3.67
GOLT1A,-2.75,3.14
GOLT1B,-0.34,2.49
GON4L,0.31,2.12
GON7,0.66,2.1
GOPC,-1.76,3.79
GORAB,-0.05,3.21
GORASP1,1.21,3.08
GORASP2,1.96,2.86
GOSR1,-1.15,3.38
GOSR2,-1.93,3.23
GOT1,-0.89,3.39
GOT1L1,1.49,1.86
GOT2,-2.18,3.91
GP1BA,-2.72,3.93
GP1BB,-1.79,3.87
GP2,0.99,3.17
GP5,-0.14,3.75
GP6,-1.12,2.83
GP9,-0.42,3.31
GPA33,0.14,3.38
GPAA1,-1.8,3.35
GPALPP1,—,3.22
GPAM,-1.65,3.41
GPANK1,-1.48,3.42
GPAT2,-1.32,3.35
GPAT3,-1.1,3.41
GPAT4,-1.6,3.39
GPATCH1,1.06,2.64
GPATCH11,0.04,3.25
GPATCH2,1.52,2.89
GPATCH2L,—,3.34
GPATCH3,0.46,3.03
GPATCH4,-0.11,3.07
GPATCH8,-1.44,3.63
GPBAR1,-1.49,3.75
GPBP1,-1.6,3.76
GPBP1L1,-1.26,3.77
GPC1,-1.64,3.61
GPC2,-1.61,3.88
GPC3,-0.44,2.67
GPC4,0.3,2.69
GPC5,-0.7,3.44
GPC6,-0.08,3.29
GPCPD1,-0.32,3.39
GPD1,-0.76,3.48
GPD1L,-0.09,3.44
GPD2,-0.42,3.59
GPER1,0.07,3.45
GPHA2,-0.01,3.55
GPHB5,-0.57,3.47
GPHN,—,2.48
GPI,1.22,3.06
GPIHBP1,0.12,4.02
GPKOW,-1.65,3.13
GPLD1,0.5,3.45
GPM6A,2.03,2.53
GPM6B,-1.22,3.53
GPN1,1.21,3.32
GPN2,-3.31,4.07
GPN3,-0.59,2.96
GPNMB,-0.47,2.98
GPR1,—,2.89
GPR101,-0.41,3.32
GPR107,-1.48,3.43
GPR108,-1.49,3.5
GPR119,-1.46,3.42
GPR12,0.03,3.22
GPR132,-2.73,3.25
GPR135,-2.43,3.68
GPR137,1.08,2.26
GPR137B,0.51,2.97
GPR137C,0.6,2.97
GPR139,-1.49,3.44
GPR141,-0.22,3.51
GPR142,1.91,1.64
GPR143,—,2.5
GPR146,-1.14,3.27
GPR148,-1.4,3.33
GPR149,-1.92,3.27
GPR15,-0.89,3.29
